Name,LevelType,Level,ParentName
Pacifica State University System,System,1,
Pacifica State University System - Northern Region,Region,2,Pacifica State University System
Pacifica State University System - Southern Region,Region,2,Pacifica State University System
Redwood Campus,Campus,3,Pacifica State University System - Northern Region
Bayview Campus,Campus,3,Pacifica State University System - Northern Region
Harbor Campus,Campus,3,Pacifica State University System - Southern Region
College of Engineering,College,4,Redwood Campus
College of Arts & Sciences,College,4,Redwood Campus
College of Business,College,4,Bayview Campus
College of Health Sciences,College,4,Harbor Campus
Department of Computer Science,Department,5,College of Engineering
Department of Mechanical Engineering,Department,5,College of Engineering
Department of Biology,Department,5,College of Arts & Sciences
Department of English,Department,5,College of Arts & Sciences
Department of Finance,Department,5,College of Business
Department of Marketing,Department,5,College of Business
Department of Nursing,Department,5,College of Health Sciences
Department of Public Health,Department,5,College of Health Sciences
BS in Computer Science,Program,6,Department of Computer Science
MS in Artificial Intelligence,Program,6,Department of Computer Science
BS in Mechanical Engineering,Program,6,Department of Mechanical Engineering
BS in Biology,Program,6,Department of Biology
BA in English Literature,Program,6,Department of English
BS in Finance,Program,6,Department of Finance
MBA in Finance,Program,6,Department of Finance
BS in Marketing,Program,6,Department of Marketing
BS in Nursing,Program,6,Department of Nursing
MS in Public Health,Program,6,Department of Public Health
