Name,LevelType,Level,ParentName
Pacifica State University System,System,1,
Pacifica State University System - Northern Region,Region,2,Pacifica State University System
Pacifica State University System - Southern Region,Region,2,Pacifica State University System
Redwood Campus,Campus,3,Pacifica State University System - Northern Region
Bayview Campus,Campus,3,Pacifica State University System - Northern Region
Harbor Campus,Campus,3,Pacifica State University System - Southern Region
School of Arts & Sciences,College,4,Redwood Campus
School of Arts & Sciences,College,4,Bayview Campus
College of Engineering,College,4,Redwood Campus
College of Nursing,College,4,Harbor Campus
Department of Biology,Department,5,School of Arts & Sciences
CS Dept,Department,5,College of Engineering
Department of Orphaned Studies,Department,5,College of Nonexistent
BS in Biology,Program,6,Department of Biology
BS in Computer Science,Program,6,CS Dept
