Name,Public_Display_Name__c,Public_Search_Keywords__c,Publicly_Listed__c,Supports_Enrollment__c,Enrollment_URL__c,Institution_Status__c,Logo_URL__c,Logo_ContentVersionId__c,Website
"1NB Bank","1NB Bank","1NB Bank Zelle 28O #","true","true","https://1nbcarlyle.com/","Active","https://enroll.zellepay.com/logos/zellepay/28O.png","","https://1nbcarlyle.com/"
"1st Advantage","1st Advantage","1st Advantage Zelle 3GX #","true","true","https://www.1stadvantage.org/Zelle","Active","https://enroll.zellepay.com/logos/zellepay/3GX.png","","https://www.1stadvantage.org/Zelle"
"1ST BANK OF SEA ISLE CITY","1ST BANK OF SEA ISLE CITY","1ST BANK OF SEA ISLE CITY Zelle 21H #","true","true","https://www.1stbankseaisle.com/","Active","https://enroll.zellepay.com/logos/zellepay/21H.png","","https://www.1stbankseaisle.com/"
"1st Bergen FCU","1st Bergen FCU","1st Bergen FCU Zelle 3BO #","true","true","https://www.1stbergen.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3BO.png","","https://www.1stbergen.com/zelle"
"1st Ed Credit Union","1st Ed Credit Union","1st Ed Credit Union Zelle 2T1 #","true","true","https://www.1edcu.org/services/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2T1.png","","https://www.1edcu.org/services/zelle/"
"1st Equity Bank","1st Equity Bank","1st Equity Bank Zelle 35H #","true","true","https://1stEquityBank.net/zelle.html","Active","https://enroll.zellepay.com/api/v1/ecm/sites/ecm/files/logos/override_uploads/35H-zellepay.png","","https://1stEquityBank.net/zelle.html"
"1st Liberty FCU","1st Liberty FCU","1st Liberty FCU Zelle JRA #","true","true","https://www.1stliberty.org/services/zelle","Active","https://enroll.zellepay.com/logos/zellepay/JRA.png","","https://www.1stliberty.org/services/zelle"
"1st National Bank","1st National Bank","1st National Bank Zelle 2AJ #","true","true","https://www.bankwith1st.com/personal/online-services/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2AJ.png","","https://www.bankwith1st.com/personal/online-services/zelle/"
"1st Security Bank of WA","1st Security Bank of WA","1st Security Bank of WA Zelle 35V #","true","true","https://www.fsbwa.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/35V.png","","https://www.fsbwa.com/zelle"
"1st Source Bank","1st Source Bank","1st Source Bank Zelle 21L #","true","true","https://www.1stsource.com/help-support/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/21L.png","","https://www.1stsource.com/help-support/zelle/"
"1ST SUMMIT BANK","1ST SUMMIT BANK","1ST SUMMIT BANK Zelle 36I #","true","true","https://www.1stsummit.bank/home/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/36I.png","","https://www.1stsummit.bank/home/zelle/"
"1st Trust Bank","1st Trust Bank","1st Trust Bank Zelle 0C3 #","true","true","https://www.1sttrustbankinc.com/","Active","https://enroll.zellepay.com/logos/zellepay/0C3.png","","https://www.1sttrustbankinc.com/"
"2 Rivers Area CU","2 Rivers Area CU","2 Rivers Area CU Zelle 2OU #","true","true","https://2riversacu.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2OU.png","","https://2riversacu.com/zelle/"
"360 Federal Credit Union","360 Federal Credit Union","360 Federal Credit Union Zelle 2QZ #","true","true","https://www.360fcu.org/Zelle","Active","https://enroll.zellepay.com/logos/zellepay/2QZ.png","","https://www.360fcu.org/Zelle"
"42 North Private Bank","42 North Private Bank","42 North Private Bank Zelle 3M9 #","true","true","https://www.42northprivate.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3M9.png","","https://www.42northprivate.com/zelle"
